ID_CANDIDATO;ORGANIZACION_POLITICA;CARGO_PARTIDARIO;DESDE;HASTA
157848;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;RESPONSABLE POLITICO REGIONAL;2018;HASTA LA ACTUALIDAD
158899;MOVIMIENTO REGIONAL O DEPARTAMENTAL FRENTE POPULAR LLAPANCHIK;COORDINADOR DE MOVILIZACION;2006;2010
158899;PARTIDO POLÍTICO EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;COORDINADOR REGIONAL;2019;HASTA LA ACTUALIDAD
158901;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;AFILIADO;2005;2006
158447;PARTIDO POLÍTICO FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP;SECRETACIO GENERAL - RIMAC;1994;1995
160459;PARTIDO POLÍTICO FUERZA POPULAR;COORDINADOR PROVINCIAL DE ABANCAY - APURIMAC;2015;2017
160461;PARTIDO POLÍTICO AGRUPACION INDEPENDIENTE SI CUMPLE;MIEMBRO DEL COMITE DEL DEPARTAMENTO DE APURIMAC;2004;2010
161328;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO MACROREGIONAL TODAS LAS SANGRES - APURIMAC;PRESIDENTE;1975;2015
161329;PARTIDO POLÍTICO MOVIMIENTO NUEVA IZQUIERDA;SECRETARIO GENERAL;1989;1991
159428;PARTIDO POLÍTICO PARTIDO MORADO;FUNDADOR Y MIEMBRO DEL COMITÉ EJECUTIVO NACIONAL;2017;HASTA LA ACTUALIDAD
159428;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIA NACIONAL DE JÓVENES MORADOS;2018;2019
159429;PARTIDO POLÍTICO PARTIDO MORADO;FUNDADOR Y SECRETARIO REGIONAL DE APURIMAC;2017;2019
159430;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO GENERAL PROVINCIAL DE CHINCHEROS;2019;HASTA LA ACTUALIDAD
158361;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO ETNOCACERISTA REGIONAL AMA SUA, AMA LLULLA, AMA QUELL;SECRETARIA PROVINCIAL;2010;2010
160168;PARTIDO POLÍTICO ACCION POPULAR;SECRETARIA DE A.S. COMANDO UNIVERSITARIO;1979;1981
160168;PARTIDO POLÍTICO ACCION POPULAR;SECRETARIA DE COMANDO FEMENINO;1982;1984
160169;PARTIDO POLÍTICO ACCION POPULAR;SECRETARIO GENERAL DEPARTAMENTAL;2006;2008
160171;PARTIDO POLÍTICO ACCION POPULAR;SECRETARIO GENERAL DEPARTAMENTAL;2011;2013
160171;PARTIDO POLÍTICO ACCION POPULAR;VICESECRETARIO DE POLITICA;2009;2011
160172;PARTIDO POLÍTICO ACCION POPULAR;SECRETARIO ECONOMIA;2015;2017
160172;PARTIDO POLÍTICO ACCION POPULAR;VICESECRETARIO DE ORGANIZACION;2017;2019
157856;PARTIDO POLÍTICO PARTIDO POLÍTICO CONTIGO;SECRETARIO DISTRITAL;2017;2018
158153;PARTIDO POLÍTICO FUERZA DEMOCRATICA;SECRETARIO GENERAL AREQUIPA;2003;2007
159518;ALIANZA ELECTORAL IZQUIERDA UNIDA;FUNDADOR;1980;1986
158449;PARTIDO POLÍTICO FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP;SECRETARIO GENERAL DEPARTAMENTO DE AREQUIPA;2011;2014
160463;PARTIDO POLÍTICO FUERZA POPULAR;SECRETARIO DE PRENSA - REG. AREQUIPA;2016;2019
160464;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;DIRIGENTE JUVENIL;1963;1973
160464;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;DIRIGENTE SINDICAL;1974;1990
160467;PARTIDO POLÍTICO FUERZA POPULAR;JEFE DE CAMPAÑA - OLA NARANJA, AREQUIPA;2016;2016
158834;PARTIDO POLÍTICO JUNTOS POR EL PERU;MILITANTE;2017;HASTA LA ACTUALIDAD
160089;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIO GENERAL DEPARTAMENTAL;1994;1995
160089;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIO GENERAL REGIONAL;2018;HASTA LA ACTUALIDAD
160090;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIA DE JUVENTUDES DISTRITAL;2001;2002
160090;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIA GENERAL DISTRITAL MARIANO MELGAR;2014;HASTA LA ACTUALIDAD
160092;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;VICE PRESIDENTE TRIBUNAL REGIONAL DE ÉTICA Y MORAL;2015;2017
160093;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIO DE ORGANIZACIÓN DISTRITAL ALTO SELVA ALEGRE;2015;HASTA LA ACTUALIDAD
160094;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIA REGIONAL DE JUVENTUDES;2018;HASTA LA ACTUALIDAD
158100;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO GENERAL REGIONAL;2019;HASTA LA ACTUALIDAD
158102;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO PROVINCIAL AREQUIPA;2019;HASTA LA ACTUALIDAD
158105;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;COORDINADOR POLÍTICO DE PROVINCIA CONDESUYOS;2018;HASTA LA ACTUALIDAD
161008;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO REGIONAL;2019;HASTA LA ACTUALIDAD
161009;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO PROVINCIAL;2019;HASTA LA ACTUALIDAD
161010;PARTIDO POLÍTICO PARTIDO MORADO;MIEMBRO DEL COMITÉ EJECUTIVO NACIONAL;2019;HASTA LA ACTUALIDAD
161010;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO NACIONAL DE JÓVENES MORADOS;2019;HASTA LA ACTUALIDAD
161011;PARTIDO POLÍTICO PARTIDO MORADO;MILITANTE;2019;HASTA LA ACTUALIDAD
161012;PARTIDO POLÍTICO PARTIDO MORADO;DIRECTOR DE RECURSOS HUMANOS;2019;HASTA LA ACTUALIDAD
160911;CONTIGO;COORDINADOR DE CAPACITACIÓN DE PERUANOS POR EL KAMBIO;2017;2019
159228;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIA REGIONAL DE JUVENTUDES;2001;2001
159229;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIO GENERAL REGIONAL DE AREQUIPA;2000;2005
160732;PARTIDO POLÍTICO PERU POSIBLE;PRESIDENTE DEL COMITE PROVINCIAL DE JUVENTUDES;2000;2001
158657;PARTIDO POLÍTICO PODEMOS POR EL PROGRESO DEL PERU;SECRETARIO DE ORGANIZACION - AREQUIPA;2017;HASTA LA ACTUALIDAD
158515;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;PARTIDARIO;2016;2017
158516;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;SECRETARIO DE COMOTE PROVINCIAL AREQUIPA;2006;2013
158517;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL INDEPENDIENTE AREQUIPA MIA;PRESIDENTE;2014;HASTA LA ACTUALIDAD
158094;MOVIMIENTO REGIONAL O DEPARTAMENTAL JUNTOS POR EL DESARROLLO DE AREQUIPA;PRESIDENTE FUNDADOR;2014;HASTA LA ACTUALIDAD
157857;MOVIMIENTO REGIONAL O DEPARTAMENTAL MUSUQ ÑAN;SECRETARIO DE ORGANIZACIÓN;2018;2019
161466;PARTIDO POLÍTICO EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;COMISION POLITICA NACIONAL;2017;HASTA LA ACTUALIDAD
161467;MOVIMIENTO REGIONAL O DEPARTAMENTAL FRENTE REGIONAL AYACUCHO;VICEPRESIDENTE;2004;2019
158455;PARTIDO POLÍTICO FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP;SECRETARIO GENERAL;1994;1995
158456;PARTIDO POLÍTICO MOVIMIENTO NUEVA IZQUIERDA;SECRETARIO DE ORGANIZACION PROVINCIAL;2006;2008
160452;CAMBIO 90;COORDINADOR;1990;1992
160901;MOVIMIENTO REGIONAL O DEPARTAMENTAL QATUN TARPUY;COORDINADOR POLÍTICO DISTRITAL "QATUN TARPUY" SIVIA;2014;2018
160902;ORGANIZACIÓN POLÍTICA LOCAL DISTRITAL MIVA - CARMEN ALTO;MIEMBRO DEL COMITÉ;2010;2011
158628;MOVIMIENTO REGIONAL O DEPARTAMENTAL FRENTE REGIONAL AYACUCHO;SECRETARIO DE IDEOLOGIA Y POLITICA;2000;2001
161158;MOVIMIENTO REGIONAL O DEPARTAMENTAL JUNTOS SI SE PUEDE;FUNDADOR;2009;2011
161158;PARTIDO POLÍTICO PARTIDO MORADO;FUNDADOR;2017;HASTA LA ACTUALIDAD
161159;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO PROVINCIAL DE HUANTA;2017;HASTA LA ACTUALIDAD
160098;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO ETNOCACERISTA AYACUCHO;SECRETARIO GENERAL;2014;2015
160098;PARTIDO POLÍTICO PERU LIBRE;SECRETARIO DE IDEOLOGÍA;2016;2019
160100;PARTIDO POLÍTICO PERU LIBRE;SECRETARIA DE LA MUJER - AYACUCHO;2019;HASTA LA ACTUALIDAD
160220;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL;SECRETARIO DE ECONOMIA;2008;2018
160222;MOVIMIENTO REGIONAL O DEPARTAMENTAL ALIANZA RENACE AYACUCHO;MIEMBRO;2014;2018
160633;PARTIDO POLÍTICO PERU PATRIA SEGURA;SECRETARIO DEPARTAMENTAL DE AYACUCHO;2005;HASTA LA ACTUALIDAD
160678;PARTIDO POLÍTICO ACCION POPULAR;SECRETARIA PROVINCIAL DE LA MUJER;2007;2009
160678;PARTIDO POLÍTICO ACCION POPULAR;SECRETARIA DEPARTAMENTAL DE GOBIERNOS LOCALES;2009;2011
160680;MOVIMIENTO REGIONAL O DEPARTAMENTAL FUERZA SOCIAL;MIEMBRO DEL COMITE REGIONAL;2005;2007
160681;PARTIDO POLÍTICO ACCION POPULAR;VICE SECRETARIA DEORGANIZACION - COMITE REGIONAL CAJAMARCA;2017;2019
157865;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;SECRETARIA DE JUVENTUD;2005;2015
159381;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIO GENERAL;1999;2008
158252;PARTIDO POLÍTICO EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;SECRETARIO DE ORGANIZACIÓN REGIONAL CAJAMARCA;2018;HASTA LA ACTUALIDAD
160470;PARTIDO POLÍTICO UNION POR EL PERU;REGIDOR PROVINCIAL;2007;2010
159602;PARTIDO POLÍTICO JUNTOS POR EL PERU;COORDINADORA PROVINCIAL;2017;2019
159603;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;AFILIADO;2009;2015
159603;MOVIMIENTO REGIONAL O DEPARTAMENTAL FUERZA SOCIAL;CANDIDATO A LA ALCALDIA PROVINCIAL;2014;2014
161252;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIO GENERAL;2015;HASTA LA ACTUALIDAD
161254;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIA DE LA MUJER;2017;HASTA LA ACTUALIDAD
161256;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIO GENERAL;2010;2015
160974;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIA PROVINCIAL DEL PARTIDO MORADO;2017;HASTA LA ACTUALIDAD
160975;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO PROVINCIAL;2017;HASTA LA ACTUALIDAD
160976;PARTIDO POLÍTICO PARTIDO MORADO;DIRECTORA REGIONAL PROMUJER;2018;HASTA LA ACTUALIDAD
160978;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO GENERAL PROVINCIAL;2017;HASTA LA ACTUALIDAD
158808;MOVIMIENTO REGIONAL O DEPARTAMENTAL CAJAMARCA SIEMPRE VERDE;PERSONERO LEGAL TITULAR;2010;2019
160718;PARTIDO POLÍTICO MOVIMIENTO NUEVA IZQUIERDA;PRESIDENTE PROVINCIAL - CAJAMARCA;2005;2009
159290;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIA GENERAL REGIONAL;2015;HASTA LA ACTUALIDAD
159290;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIA REGIONAL DE LA MUJER;2007;2014
159292;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIO COMANDO UNIVERSITARIO;2015;2018
159535;PARTIDO POLÍTICO PERU POSIBLE;SECRETARIO  DEPARTAMENTAL CAJAMARCA JUVENTUDES;2001;2003
159535;PARTIDO POLÍTICO PERU POSIBLE;SECRETARIO PROVINCIAL CAJAMARCA;2012;2016
160144;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL FUERZA SOCIAL CAJAMARCA;SECRETARIO DE ORGANIZACIÓN DE BASES;2009;2014
159580;MOVIMIENTO NUEVA IZQUIERA;MIEMBRO-COMITE DEPARTAMENTAL;2004;2007
159498;PARTIDO POLÍTICO UNION POR EL PERU;PRESIDENTE;2010;2014
159498;PARTIDO POLÍTICO UNION POR EL PERU;SECRETARIO REGIONAL DE ORGANIZACION NORTE;2004;2010
160188;ORGANIZACIÓN POLÍTICA LOCAL PROVINCIAL MOVIMIENTO POLITICO FRENTE INDEPENDIENTE REGIONAL;FUNDADOR;2014;2014
160188;ORGANIZACIÓN POLÍTICA LOCAL PROVINCIAL MOVIMIENTO POLITICO FRENTE INDEPENDIENTE REGIONAL;MIEMBRO DE COMITE;2010;2010
160190;PARTIDO POLÍTICO PERU AHORA;MIEMBRO DE COMITE;2004;2005
160191;PARTIDO POLÍTICO ACCION POPULAR;SECRETARIO PROVINCIAL;1980;1990
157871;PARTIDO POLÍTICO PERUANOS POR EL KAMBIO;JEFA REGIONAL DE PERSONEROS;2016;2016
158951;MOVIMIENTO REGIONAL O DEPARTAMENTAL AUTOGOBIERNO AYLLU;SECRETARIO DE ORGANIZACIONES SOCIALES;2004;HASTA LA ACTUALIDAD
158953;MOVIMIENTO REGIONAL O DEPARTAMENTAL AUTOGOBIERNO AYLLU;COORDINADOR REGIONAL COLEGIADO;2004;2019
158953;MOVIMIENTO REGIONAL O DEPARTAMENTAL AUTOGOBIERNO AYLLU;REPRESENTANTE LEGAL;2004;2019
157965;PARTIDO POLÍTICO DEMOCRACIA DIRECTA;COORDINADOR REGIONAL;2016;HASTA LA ACTUALIDAD
157969;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;MILITANTE;2014;2016
160984;PARTIDO POLÍTICO EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;COORDINADORA ADJUNTA DE LA COMISION POLITICA NACIONAL;2017;2019
160984;MOVIMIENTO REGIONAL O DEPARTAMENTAL TIERRA Y LIBERTAD CUSCO;SECRETARIA DE FORMACION POLITICA Y COMUNICACION;2010;2014
158531;PARTIDO POLÍTICO EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;COORDINADORA DE CAMPAÑA;2015;2016
158532;PARTIDO POLÍTICO PARTIDO MOVIMIENTO HUMANISTA PERUANO;SECRETARIA DE ASUNTOS ELECTORALES;2002;2004
158535;MOVIMIENTO NUEVO PERU;COORDINACIÓN REGIONAL;2017;HASTA LA ACTUALIDAD
161817;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SEC. GENERAL COMANDO CED WANCHAQ;2013;2015
161817;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SUB SECRETARIO GENERAL COMITE EJECUTIVO DISTRITAL DE WANCHAQ;2010;2013
161818;PARTIDO POLÍTICO RESTAURACION NACIONAL;PERSONERA LEGAL  REGIONAL - CUSCO;2018;2018
161819;ALIANZA ELECTORAL ALIANZA POPULAR.;PERSONERO LEGAL TITULAR ANTE EL ROP;2014;2014
161820;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIA DEL COMANDO REGIONAL UNIVERSITARIO APRISTA - CRUA;2017;2018
161820;ALIANZA REVOLUCIONARIA ESTUDIANTIL;VICEPRESIDENTA DE CENTRO FEDERADO DE LA FACULTAD DE DERECHO Y CIENCIA POLÍTICA DE LA UAC;2016;2017
161821;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIO GENERAL PROVINCIAL CANCHIS;2012;2013
159778;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO GENERAL REGIONAL CUSCO;2019;HASTA LA ACTUALIDAD
159779;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO REGIONAL DE ORGANIZACIÓN;2017;HASTA LA ACTUALIDAD
159779;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO REGIONAL DE ORGANIZACION;2019;HASTA LA ACTUALIDAD
159781;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIA EJECUTIVA DISTRITAL DE SAN JERONIMO;2017;2019
159467;PARTIDO POLÍTICO PARTIDO MORADO;MIENBRO DEL COMITE EJECUTIVO NACIONAL;2019;HASTA LA ACTUALIDAD
159467;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO GENERAL REGIONAL CUSCO;2019;HASTA LA ACTUALIDAD
159468;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIA GENERAL COMITÉ EJECUTIVO PROVINCIAL - LA CONVENCIÓN;2019;HASTA LA ACTUALIDAD
159468;PARTIDO POLÍTICO PARTIDO MORADO;COORDINADORA PROVINCIAL;2017;2018
159469;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO GENERAL PROVINCIAL DE CUSCO;2019;HASTA LA ACTUALIDAD
159469;PARTIDO POLÍTICO PARTIDO MORADO;COORDINADOR REGIONAL DE FIRMAS DE CUSCO;2016;2018
159470;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIA REGIONAL DE GREMIOS Y ORGANIZACIONES SOCIALES;2019;HASTA LA ACTUALIDAD
159471;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARÍA REGIONAL DE PLAN DE GOBIERNO;2019;HASTA LA ACTUALIDAD
160306;PARTIDO POLÍTICO PERU LIBRE;SECRETARIO GENERAL REGIONAL;2018;HASTA LA ACTUALIDAD
160307;PARTIDO POLÍTICO PERU LIBRE;COORDINADOR PROVINCIAL QUISPICANCHI;2019;HASTA LA ACTUALIDAD
160310;PARTIDO POLÍTICO PERU LIBRE;COORDINADORA PROVINCIAL CUSCO;2019;HASTA LA ACTUALIDAD
161494;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL PAN;SECRETARIO REGIONAL DE ORGANIZACION;2009;2010
161448;MOVIMIENTO POLÍTICO INDEPENDIENTE CUSCO EN ACCIÓN;SECRETARIO PROVINCIAL DE JUVENTUDES;2006;2007
161448;PARTIDO POLÍTICO FUERZA POPULAR;COORDINADOR REGIONAL CUSCO;2016;2017
161449;PERUANOS POR EL KAMBIO;SECRETARIO REGIONAL DE JUVENTUDES;2014;2018
159543;PARTIDO POLÍTICO MOVIMIENTO NUEVA IZQUIERDA;ALCALDE;2003;2006
159545;MAS DEMOCRACIA;MILITANTE;2019;2019
160224;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL ACUERDO POPULAR UNIFICADO;PERSONERA LEGAL TITULAR;2019;HASTA LA ACTUALIDAD
160226;PARTIDO POLÍTICO PERU POSIBLE;SECRETARIA DE JUVENTUDES BASE CANCHIS;2005;2012
161176;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;SECRETARIO GENERAL;2015;2016
161176;MOVIMIENTO REGIONAL O DEPARTAMENTAL FRENTE PATRIOTA PERUANO;SECRETARIO GENERAL;2019;HASTA LA ACTUALIDAD
161246;ALIANZA ELECTORAL ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP;MILITANTE;2018;2018
158221;MOVIMIENTO REGIONAL O DEPARTAMENTAL FRENTE DE DEFENSA REGIONAL;SECRETARIO DE LA JUVENTUD;2005;2006
159332;PARTIDO POLÍTICO EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;MIEMBRO DE LA COMISIÓN POLÍTICA NACIONAL;2017;HASTA LA ACTUALIDAD
159334;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE REGIONAL AYLLU;FUNDADOR;2013;2018
159989;PARTIDO POLÍTICO JUNTOS POR EL PERU;RESPONSABLE POLITICO REGIONAL;2014;HASTA LA ACTUALIDAD
161891;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIO DE ORGANIZACIÓN;1987;1988
161891;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIA GENERAL;2015;2016
161892;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIO DE ORGANIZACIÓN;2012;2013
161892;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIO GENERAL;2018;HASTA LA ACTUALIDAD
160185;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;SECRETARIO DE ECONOMÍA;2005;2007
159337;PARTIDO POLÍTICO PERU POSIBLE;AFILIADO;2007;2012
161652;MOVIMIENTO REGIONAL O DEPARTAMENTAL FRENTE REGIONAL PODER COMUNAL;SECRETARIA DE IDEOLOGÍA Y POLÍTICA REGIONAL;2013;2015
159926;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE REGIONAL AYLLU;AFILIADO;2013;2017
159926;PARTIDO POLÍTICO PERU POSIBLE;AFILIADO;2011;2013
161479;PARTIDO POLÍTICO PERU LIBRE;COORDINADOR NACIONAL DE ORGANIZACION;2015;2016
159732;MOV. REGIONAL AYLLU;SEC.REG.JUVENTUD;2013;2019
