ID_CANDIDATO;CENTRO_TRABAJO;OCUPACION;DESDE;HASTA
160536;ABOGADO INDEPENDIENTE;ABOGADO;2003;2019
160537;INDEPENDIENTE;INDEPENDIENTE;1999;HASTA LA ACTUALIDAD
160538;AZAHAR S.A.C.;GERENTE GENERAL;2016;2016
160538;BORTEX S.A.C.;GERENTE DE ADMINISTRACIÓN Y FINANZAS;1997;2013
160539;ARANGUENA MEDICOS EIRL;ASISTENTE MEDICO;2008;2019
160540;CONGRESO DE LA REPUBLICA;PROFESIONAL PARLAMENTARIO;2015;2019
160540;MUNICIPALIDAD DISTRITAL DE SAN ISIDRO;JEFE DE TRAMITE DOCUMENTARIO;2014;2015
160540;BANCO AZTECA DEL PERU SA;JEFE DE RELACIONES LABORALES;2012;2014
160540;MUNICIPALIDAD DE SAN ISIDRO;JEFE DE TRAMITE DOCUMENTARIO;2011;2012
160540;CONGRESO DE LA REPUBLICA;ASESOR;2008;2010
160541;INSTITUTO NACIONAL PENINTENCIARIO;PSICOLOGA;1997;2019
160542;EXTINTORES CAPELO PERÚ G&D EIRL;GERENTE GENERAL;2007;2019
160542;IMPORTACIONES CINCO ESTRELLAS SAC;GERENTE GENERAL;2014;2019
160542;INVERSIONES JOWIL SAC;GERENTE GENERAL;2019;2019
160543;MINISTERIO DE DEFENSA DEL PERU;TECNICO ADMINISTRATIVA;2016;2019
160543;T-GESTIONA;COORDINADORA DE PROYECTOS;2012;2015
160543;SERVICIOS INFORMATICOS CORPORATIVOS S.A.;COORDINADORA AREA DE TELECOMUNICACIONES;2007;2012
160544;UNIVERSIDAD SEMINARIO BIBLICO;DOCENTE;2014;HASTA LA ACTUALIDAD
160544;MISION CRISTIANA MAHANAIM;ADMINISTRADOR;2017;2019
160545;SEDA HUANUCO S.A.;BACH. ECONOMISTA;2019;2019
160545;OTASS - MINISTERIO DE VIVIENDA CONSTRUCCIÓN Y SANEAMIENTO;BACH. ECONOMISTA;2019;2019
160545;CONGRESO DE LA REPÚBLICA;TECNICO;2017;2019
160545;INTELIGENT PARTNER S.A.;ASISTENTE COMERCIAL Y DE GERENCIA;2015;2016
160545;SCOTIABANK PERÚ S.A.A.;PROMOTOR DE SERVICIOS;2013;2014
160546;LSC EIRL;GERENTE GENERAL;1992;2019
160547;IE NUESTRA SEÑORA DE LOURDES;DOCENTE;2019;2019
160547;IE TUPAC AMARU II;DOCENTE;2018;2018
160547;MUNICIPALIDAD DE CHORRILLOS;REGIDORA;2018;2018
160547;IE SCIPION LLONA 708;DOCENTE;2016;2017
160547;IE JOSE DE LA RIVA AGUERO YOSMA;DOCENTE;2015;2015
160548;RSM SPAIN ASESORES LEGALES Y TRIBUTARIOS SLP;ABOGADO-SOCIO;2016;HASTA LA ACTUALIDAD
160548;TGG LEGAL SLP;ABOGADO-SOCIO;2016;2016
160548;FUSTER FABRA ABOGADOS (HARVEST LEGAL SLP);ABOGADO-SOCIO;2012;2015
160548;J&A GARRIGUES SLP;ABOGADO;2007;2012
160550;AMERICAN SEISMIC SOLUTION ENTERPRISE SAC;JEFE DE PROYECTOS;2013;2019
160550;HOT & COOL SAC;CHEF EJECUTIVO;2009;2012
160550;INTERANDINA DE PUBLICIDAD SA;DIRECTOR EJECUTIVO;1999;2001
160550;EMPRESA EDITORA "EL COMERCIO";ASISTENTE LEGAL;1983;1993
158368;MUNICIPALIDAD DE SAN BORJA;GERENTE DE CAPITAL HUMANO;2019;2019
158369;CORTE SUPERIOR DE JUSTICIA DE LIMA PODER JUDICIAL;SECRETARIA JUDICIAL;2010;2019
158370;INSTITUTO DE GOBIERNO DE LA UNIVERSIDAD SAN MARTÍN DE PORRES;PROFESOR DE POSTGRADO;2012;2019
158371;FORUM SOLIDARIDAD PERU;POLITOLOGO;2011;2013
158372;ESTUDIO ARBIZU GAMARRA SAC;SOCIO FUNDADOR;2019;2019
158373;PROCESADORA DEL SUR SA;CONTADORES;2017;2019
158374;FORO SALUD;SECRETARIO EJECUTIVO;2017;2018
158374;OXFAM;CONSULTOR;2019;2019
158374;FEDERACIÓN NACIONAL DE TRABAJADORES MINEROS METALÚRGICOS Y SIDERÚRGICOS DEL PERÚ;CONSULTOR;2019;2019
158375;MOVIMIENTO MANUELA RAMOS;ASISTENTE ADMINISTRATIVA;2019;2019
158376;CONSTRUCCION CIVIL;DIRIGENTE;1992;2019
158377;MINSA DIRECCIÓN GENERAL DE SALUD AMBIENTAL;LICENCIADA EN EDUCACION;2002;2019
158378;INDEPENDIENTE;ABOGADA;2018;2019
158379;CONGRESO DE LA REPÚBLICA;CONGRESISTA;2013;2019
158380;MUNICIPALIDAD DISTRITAL LA VICTORIA;AUXILIAR ADMINISTRATIVO;1972;2019
158381;INSTITUTO DE CIUDADANIA Y DEMOCRACIA;DIRECTORA;2013;2019
158382;TELEFÓNICA DEL PERÚ SA;EMPLEADO;1989;2019
158383;CORPORACIÓN CAMPOY SAC;ADMINISTRADOR;2017;2019
158383;MUNICIPALIDAD DISTTRITAL DE SAN MARCOS - HUARI - ANCASH;SUB GERENET DE SEGURIDAD CIUDADANA Y POLICIA MUNICIPAL;2009;2010
158383;CONSTRUCTORA ROMERO SAC;ADMINISTRADOR DE OBRAS;2012;2013
158384;IE 1219 JOSE CARLOS MARIATEGUI;DOCENTE;2018;2019
158385;INDEPENDIENTE;GRAFICA;1989;2019
158386;MUNICIPALIDAD PROVINCIAL DE HUAURA;PROCURADOR PUBLICO;2019;2019
158387;EMPRESA INNOVA AMBIENTAL SA;BARRENDERA;2004;2019
158389;CONGRESO DE LA REPÚBLICA;SOCIOLOGA;2013;2019
158393;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;PERSONAL ADMINISTRATIVO;1995;2019
158395;IESTP MARÍA ROSARIO ARAOZ PINTO;DOCENTE DE EDUCACIÓN SUPERIOR;2002;2019
158396;AGRONEGOCIOS FRUSELVA SA;ASISTENTE EN LOGISTICA;2016;2018
158397;DEFENSORIA DEL PUEBLO;JEFE DE AREA;2003;2019
158398;CORPORACIÓN GRISO SAC;GERENTE GENERAL;2016;2019
158399;SERVICIO MINEROS JORGE OTOYA EIRL;GERENTE;1996;2019
158400;INDEPENDIENTE;ABOGADO;1999;2019
158402;ARKELL GRUPO INMOBILIARIO SAC;ARQUITECTO;2018;2019
158403;MUNICIPALIDAD METROPOLITANA DE LIMA;SUBGERENTE;2018;2019
158403;MUNICIPALIDAD DE LIMA METROPOLITANA;SUB GERENTE DE FISCALIZACIÓN DE TRANSPORTE;2018;2019
158403;SEGURO SOCIAL DE SALUD ESSALUD;GERENTE DE OPERACIONES ESPECIALES;2017;2018
158403;MINISTERIO DE ECONOMÍA Y FINANZAS;ASESOR CONVENIO FAG;2016;2017
158403;AUTORIDAD NACIONAL DEL SERVICIO CIVIL SERVIR;ESPECIALISTA LEGAL;2016;2016
160597;CONGRESO DE LA REPUBLICA;CONGRESISTA;2001;2019
160598;UNIVERSIDADA DN IGNACIO DE LOYOLA;DOCENTE;2012;HASTA LA ACTUALIDAD
160598;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;DOCENTE;2012;HASTA LA ACTUALIDAD
160598;UNIVERSIDAD PRIVADA SAN MARTIN DE PORRES;DOCENTE;2011;HASTA LA ACTUALIDAD
160598;UNIVERSIDAD PERUANA UNION;DOCENTE;2013;2018
160599;COMPAÑIA LATINOAMERICANA DE RADIO DIFUSION (LATINA TV);PERIODISTA - CONDUCTOR;2016;2017
160599;PRODUCTORA PERUANA DE INFORMACION SAC;PERIODISTA Y ENTREVISTADOR;2017;2019
160599;DIARIO PERU 21 / GRUPO EL COMERCIO;EDITOR CENTRAL MULTIPLATAFORMA;2018;2018
160599;GRUPO ALTAVOZ SAC / DIARIO ALTAVOZ;DIRECTOR FUNDADOR;2013;2018
160602;CONSULTORA FUTURA  S.A.;CONSULTOR;2017;HASTA LA ACTUALIDAD
160603;CONGRESO D ELA REPÚBLICA;TÉCNICO 5;2019;2019
160603;MINISTERIO PUBLICO;ASISTENTE ADMINISTRATIVO DE LA FUNCIÓN FISCAL;2017;2018
160603;SUNARP;PRACTICAS PRE PROFESIONALES;2015;2015
160603;MOLERO BOGADOS;ABOGADA;2017;2017
160603;SUNARP;ASISTENTE ADMINISTRATIVO;2009;2010
160604;RESTAURANTE ROYAL S.A.;JEFE DE IMAGEN INSTITUCIONAL;2009;HASTA LA ACTUALIDAD
160604;FUNDACION DE AMISTAD PERUANO CHINA;SECRETARIO EJECUTIVO;2015;HASTA LA ACTUALIDAD
160604;INSTITUTO ASIA PACIFICO;SECRETARIO EJECUTIVO;2015;HASTA LA ACTUALIDAD
160604;MUNICIPALIDAD DISTRITAL DE BARRANCO;JEFE DE IMAGEN INSTITUCIONAL;2003;2004
160605;AVIA TEXTIL E.I.R.L;GERENTE GENERAL;2015;HASTA LA ACTUALIDAD
160605;SECRETARIA NACIONAL DE LA JUVENTUD  SENAJU;ESPECIALISTA EN LA DIRECCIÓN DE CONTROL Y MONITOREO;2009;2010
160605;MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO;ESPECIALISTA EN LA DIRECCIÓN NACIONAL DE LA MYPE;2006;2009
160606;MINISTERIO DE DESARROLLO E INCLUSION SOCIAL;ESPECIALISTA;2016;2019
160606;GOBIERNO REGIONAL DE ICA;ASESOR;2015;2016
160606;EMPRESA MUNICIPAL ADMINISTRADORA DE PEAJE;ESPECIALISTA;2011;2014
160606;INSTITUTO NACIONAL DE DESARROLLO DE PUEBLOS ANDINOS, AMAZONICOS Y AFROPERUANOS - INDEPA;ESPECIALISTA/ JEFE/ GERENTE;2008;2011
160606;PROGRAMA NACIONAL A COMER PESCADO;ESPECIALISTA;2019;2019
160608;ABOGADO INDEPENDIENTE;ABOGADO INDEPENDIENTE;2012;2019
160609;ZONA REGISTRAL N° IX - SEDE LIMA DE LA SUPERINTENDENCIA DE REGISTROS PUBLICOS.;ABOGADO II;2007;HASTA LA ACTUALIDAD
160611;CONGRESO DE LA REPUBLICA;ASESOR PRINCIPAL COMISIÓN DE ORDENAMIENTO LEGISLATIVO-CEMOL;2013;2015
160611;CONGRESO DE LA REPUBLICA;PROFESIONAL EN LA OFICINA TÉCNICA DE APOYO A LA MESA DIRE Y ENLACE CON GOBIERNOS REGIONALES Y LOCALE;2017;2018
160611;UNIVERSIDAD TECNOLOGICA DEL PERU;DOCENTE UNIVERSITARIO EN LA FACULTAD DE DERECHO Y RELACIONES INTERNACIONALES;2012;2015
160611;UNIVERSIDAD INCA GARCILASO DE LA VEGA;DOCENTE UNIVERSITARIO;2012;2015
160611;ABOGADO INDEPENDIENTE;ABOGADO;1998;HASTA LA ACTUALIDAD
160612;UNIVERSIDAD SANTO DOMINGO DE GUZMÁN;DOCENTE UNIVERSITARIO;2018;HASTA LA ACTUALIDAD
160613;MUNICIPALIDAD DE JESUS MARIA;DIRECTORA DEL ELENCO INFANTIL DE BALLET;2015;2019
160614;CLINICA PADRE LUIS TEZZA;MEDICO PEDIATRA;2017;HASTA LA ACTUALIDAD
160614;UNIVERSIDAD SAN MARTIN DE PORRES;DOCENTE UNIVERSITARIO;1991;HASTA LA ACTUALIDAD
160614;HOSPITAL MARIA AUXILIADORA - MINSA;MEDICO PEDIATRA;1991;2018
160615;BUSINESS LEYVA E.I.R.L.;GERENTE DE OPERACIONES Y SERVICIOS;2018;HASTA LA ACTUALIDAD
160615;SERVICIO INDEPENDIENTE;ASESORÍA, CONSULTORIA Y REPRESENTACIÓN EN ADUANAS Y COMERCIO EXTERIOR;1993;HASTA LA ACTUALIDAD
160617;CIVED;PRESIDENTE;2014;2018
160617;MINISTERIO DE VIVIENDA Y CONSTRUCCION;JEFE DEL GABINETE DE ASESORES;2009;2011
160617;ASOCIACION DE EX PARLAMENTARIOS DEL PERU;PRESIDENTE DE LA ASOCIACION DE EX PARLAMENTARIOS DEL PERU;2018;HASTA LA ACTUALIDAD
160618;LAT PERU;EJECUTIVO DE COSTOS Y NEGOCIACIONES;2019;HASTA LA ACTUALIDAD
160618;MINISTERIO DE COMERCIO EXTERIOR Y TURISMO;ESPECIALISTA EN TURISMO;2017;2017
160618;STIMULUS S.A.;ESPECIALISTA EN TURISMO;2015;2015
160618;INMARK PERÚ;ESPECIALISTA EN TURISMO;2012;2013
160620;CAMARA DE TRANSPORTE URBANO;COORDINADOR;2016;2019
160620;TRACTOCAMIONES USA E.I.R.L;VENDEDOR DE BUSES;2003;2012
160621;INSTITUTO DE EDUCACION SUPERIOR TECNOLOGICO PRIVADO VIVAL;PROMOTOR;2002;2012
160621;FABRICA DE TEJIDOS LA UNION LTDA S.A;SOPORTE TECNICO EN SISTEMAS;1982;2000
160622;PARLAMENTO ANDINO;ASISTENTE;2007;2009
160623;COLEGIO PAMER;DOCENTE;2019;HASTA LA ACTUALIDAD
160623;COLEGIO TRENTO;DOCENTE;2015;2015
160623;COLEGIO PAMER SEDE SAN FELIPE Y SALAMANCA;DOCENTE;2014;2014
160624;ABOGADA INDEPENDIENTE;ABOGADA - ASESORIA JURIDICA;2011;HASTA LA ACTUALIDAD
160624;MINISTERIO DE AGRICULTURA;PROCURADURIA;2009;2011
160626;ABOGADO INDEPENDIENTE;ABOGADO;2001;HASTA LA ACTUALIDAD
160628;DIRIS LIMA SUR;TECNICO DE ENFERMERIA;2016;2018
160628;TECNICO ENFEREMERIA INDEPENDIENTE;TECNICO ENFERMERIA;2018;HASTA LA ACTUALIDAD
160630;ESCUELA TECNICA SUPERIOR DE POLICIA;DOCENTE;2016;HASTA LA ACTUALIDAD
160630;INSTITUTO OSCAR ARTETA TERZI;DOCENTE;2018;HASTA LA ACTUALIDAD
160630;ESCUELA TECNICO DE POLICIA SEDE SAN BARTOLO;DOCENTE;2019;HASTA LA ACTUALIDAD
160630;POLICIA NACIONAL DEL PERU;POLICIA SUPERIOR PNP;1989;2015
160631;BANCO DE LA NACION;SERVICIO DE EVALUACION EN EL MONTO DE PRESTAMOS MULTIRED;2009;2014
160631;ESSALULD HOSPITAL ANGAMOS;AREA ADMINISTRATIVA;2015;HASTA LA ACTUALIDAD
160632;ROGOZ INVERSIONES SRL;INGENIERO INDUSTRIAL;2015;2019
159889;DOCE PILARES SAC;GERENTE GENERAL;2017;HASTA LA ACTUALIDAD
159889;CONGRESO DE LA REPUBLICA;CONGRESISTA;2011;2016
159889;MUNICIPALIDAD DE PUENTE PIEDRA;ALCALDE;2003;2010
159891;PACTA SAC;ABOGADO;2010;HASTA LA ACTUALIDAD
159892;MUNICIPALIDAD DISTRITAL DE ATE;SECRETARIA GENERAL;2019;2019
159892;MUNICIPALIDAD DISTRITAL DE LA MOLINA;SECRETARIA GENERAL;2018;2018
159892;MUNICIPALIDAD DISTRITAL DE LA MOLINA;GERENTE MUNICIPAL;2014;2018
159892;MUNICIPALIDAD DISTRITAL DE LA MOLINA;GERENTE DE DESARROLLO HUMANO;2012;2014
159892;MUNICIPALIDAD DISTRITAL DE LA MOLINA;ASESORA DE ALCALDIA;2011;2012
159893;MUNICIPALIDAD DE LA MOLINA;ESPECIALISTA ADMINISTRATIVO;2016;2018
159893;MUNICIPALIDAD DE LA MOLINA;ESPECIALISTA DE EJECUCIÓN Y ESQUEMA DE ACUERDOS DE COMISIÓN DE CONSEJO DE LA GERENCIA MUNICIPAL;2016;2016
159893;MUNICIPALIDAD DE SAN LUIS;ASESOR DE LA SECRETARIA GENERAL;2015;2015
159893;MUNICIPALIDAD DE COMAS;ASESOR;2019;2019
159893;MUNICIPALIDAD DE SANTA ROSA;ASESOR;2019;2019
159895;INDEPENDIENTE;ABOGADO;1997;HASTA LA ACTUALIDAD
159896;POLEASLAB;GERENTE GENERAL;2017;HASTA LA ACTUALIDAD
159896;ASOCIACION CRUZADA VIAL;GERENTE DE PROYECTO Y OPERACIONES;2013;HASTA LA ACTUALIDAD
159896;ASOCIACION UNACEM;JEFE DE INNOVACIÓN SOCIAL E INCIDENCIA PUBLICA;2018;2019
159896;MINISTERIO DE DESARROLLO E INCLUSIÓN SOCIAL;DIRECTORA GENERAL DE PRESTACIONES SOCIALES;2016;2017
159896;CENTRO CATOLICA BUSSINESS SCHOOL;DIRECTORA DEL CENTRO DE PROGRESO SOCIAL DEL PERU;2015;2016
159897;COMPAÑIA INMOBILIARIA LOS CONSTRUCTORES SA;DIRECTOR GERENTE;1989;HASTA LA ACTUALIDAD
159898;FRANQUICIAS MARÍA PASTOR S.A.C;GERENTE GENERAL;2016;HASTA LA ACTUALIDAD
159898;CHELO VERDE S,A.C .;GERENTE GENERAL;2019;HASTA LA ACTUALIDAD
159898;V & M  FRANQUICIAS PERUANAS E.I.R.L;TITULAR;2019;HASTA LA ACTUALIDAD
159898;CORPORACION MPS S.A.C.;GERENTE GENERAL;2011;2015
159899;NOMBRE DEL CENTRO DE PRESTACIÓN DEL SERVICIO O TRABAJO: INVERSIONES SAN BENEDICTO S.A.C;ASESORÍA EXTERNA;2010;HASTA LA ACTUALIDAD
159899;COLEGIO DE ABOGADOS DE LIMA;CONSEJERA EXTERNA;2016;2018
159899;GOBIERNO REGIONAL DEL CALLAO;ASISTENTE;2017;2017
159899;MUNICIPALIDAD DE EL AGUSTINO;ASISTENTE DE PROCURADURIA;2016;2016
159900;SUTRAN;SUB GERENTE;2019;HASTA LA ACTUALIDAD
159901;PROSPERE ASESORES S.A.C.;SOCIO;2016;HASTA LA ACTUALIDAD
159901;EKOLIMA SAC;ASESORIA;2015;HASTA LA ACTUALIDAD
159901;INMOBILIARIA LA PACIFICA;ASESORIA;2013;2017
159902;M&A TRAVEL EXPRESS SAC;GERENTE GENERAL;2013;HASTA LA ACTUALIDAD
159903;CONSULTOR INDEPENDIENTE;ABOGADO;2019;HASTA LA ACTUALIDAD
159903;MUNICIPALIDAD DE SAN BORJA;GERENTE DE ADMINISTRACIÓN TRIBUTARIA;2019;2019
159903;SOCIEDAD DE BENEFICENCIA DE LIMA METROPOLITANA;GERENTE GENERAL;2017;2018
159903;INSTITUTO PERUANO DEL DEPORTE;PRESIDENTE;2014;2016
159904;ESTUDIO JURIDICO CACERES ARONES & ABOGADOS;ABOGADA;2012;HASTA LA ACTUALIDAD
159904;EMPRESA PHOENIX TSP SAC;ASISTENTE ADMINISTRATIVO;2010;2011
159904;RENIEC;REPRESENTANTE DE RENIEC;2011;2011
159904;ESTUDIO JURIDICO CASTILLO;ASISTENTE LEGAL;2006;2009
159905;CLINICA ESTARBIEN;GERENTE GENERAL;2012;HASTA LA ACTUALIDAD
159905;MEDIFARMA SA;ANALISTA DE MARKETING;2011;2011
159905;PUESTO DE SALUD CARRIZAL;MEDICO ASISTENTE;2009;2010
159907;CONSULTORIA Y MANTENIMIENTO SAC;GERENTE GENERAL;2010;2015
159907;CONGRESO DE LA REPUBLICA;EMPLEADO;2012;2014
159907;MUNICIPALIDAD DISTRITAL DE VENTANILLA;ABOGADO;2019;2019
159908;MACAP TECHNOLOGY EIRL;TITULAR - GERENTE;2005;HASTA LA ACTUALIDAD
159908;ASIVTEL SRL;GERENTE GENERAL;2015;2019
159910;CONSTRUCTORA INMOBILIARIA T & G;ASESOR EXTERNO;2014;HASTA LA ACTUALIDAD
159910;ESTUDIO DE ABOGADOS QUISPE MARTINEZ;ABOGADO;2014;HASTA LA ACTUALIDAD
159911;AMZUR SERVICIOS GENERALES SAC;REPRESENTANTE LEGAL;2009;2017
159912;MEDIA LED SAC;GERENTE GENERAL;2015;HASTA LA ACTUALIDAD
159914;AGENCIA DE VIAJES Y TURISMO AEROTOURS;PROPIETARIA;2006;HASTA LA ACTUALIDAD
159915;MUNICIPALIDAD DE PACHACAMAC;ASISTENTE;2019;HASTA LA ACTUALIDAD
159915;SUPERMERCADOS PERUANOS SA;CAJERA;2015;2017
159916;INDEPENDIENTE;ABOGADO;2017;HASTA LA ACTUALIDAD
159917;VALDITEX S.A;GERENTE DE TIENDA;2019;HASTA LA ACTUALIDAD
159918;UNIVERSIDAD NACIONAL ENRIQUE GUZMAN Y VALLE;FACILITADOR -CAPACITADOR EN RESPONSABILIDAD SOCIAL UNIVERSITARIA;2018;HASTA LA ACTUALIDAD
159918;MENORCA INVERSIONES S.A.C.;RESPONSABILIDAD SOCIAL;2017;2017
159919;ACOSTA SERVICE INC.;GERENTE GENERAL;1992;2019
159920;ALM SOLUTIONS S.R.L;RESPONSABLE DEL ÁREA COMERCIAL;2019;HASTA LA ACTUALIDAD
159920;MUNICIPALIDAD DE MAGDALENA;EMPLEADA;2011;2019
159922;NOMBRE DEL CENTRO DE PRESTACIÓN DEL SERVICIO O TRABAJO: AUTO NUEVO PARA TODOS S.A.C;GERENTE GENERAL;2012;2019
159923;RESTAURANTE SABOR DEL NORTE;MARKETING;2019;HASTA LA ACTUALIDAD
159924;PAMER;DICTADO DE CLASES;2016;HASTA LA ACTUALIDAD
161412;UNIVERSIDAD DEL PACÍFICO;PROFESOR, PACÍFICO BUSINESS SCHOOL;2015;HASTA LA ACTUALIDAD
161412;FORO NACIONAL INTERNACIONAL;INVESTIGADOR PRINCIPAL EMÉRITO;1993;HASTA LA ACTUALIDAD
161412;NIRAS DEVELOPMENT CONSULTING;EVALUADOR PROYECTO THINK TANK INITIATIVE;2016;2018
161412;NACIONES UNIDAS;CONSULTOR;2017;2017
161412;LEMELSON FOUNDATION;MIEMBRO DEL CONSEJO CONSULTIVO;2007;2017
161413;PODER JUDICIAL;JUEZ SUPERIOR ANTICORRUPCION DE LA CORTE SUPERIOR DE LIMA;2010;2014
161413;OFICINA NACIONAL ANTICORRUPCION;JEFA;2007;2008
161413;PODER JUDICIAL;JUEZ PENAL DE LA CORTE SUPERIOR DE LIMA;2002;2007
161414;MINISTERIO DE DEFENSA;MINISTRO;2011;2011
161414;CONGRESO DE LA REPÚBLICA;CONGRESISTA;2011;2016
161415;DEFENSORÍA DEL PUEBLO;ASISTENTE TÉCNICO;2011;2013
161415;DEFENSORÍA DEL PUEBLO;COMISIONADO;2013;2014
161416;INSTITUTO TECNOLÓGICO DE LA PRODUCCIÓN;CONSULTORA DE COMUNICACIÓN;2017;2018
161416;PROGRAMA PRO DESCENTRALIZACIÓN;CONSULTORA DE COMUNICACIÓN;2012;2016
161416;MINISTERIO DE EDUCACIÓN;JEFATURA NACIONAL DE COMUNICACIÓN Y PARTICIPACIÓN CIUDADANA;2013;2013
161416;PROGRAMA DE LAS NACIONES UNIDAS PARA EL DESARROLLO (PNUD);CONSULTORA EN COMUNICACIÓN;2011;2012
